"rideable_type","start_station_name"
"electric_bike","Kedzie Ave & 110th St"
"classic_bike","Western Ave & Walton St"
"classic_bike","Western Ave & Walton St"
"electric_bike","Racine Ave & Randolph St"
"classic_bike","Clark St & Leland Ave"
"classic_bike","Racine Ave & Randolph St"
"classic_bike","Clark St & Leland Ave"
"classic_bike","Clark St & Leland Ave"
"electric_bike","Clark St & Leland Ave"
"classic_bike","Warren Park East"
"classic_bike","Jefferson St & Monroe St"
"electric_bike","Public Rack - Kostner Ave & Diversey Ave"
"electric_bike","Public Rack - Kostner Ave & Diversey Ave"
"electric_bike","Western Ave & Walton St"
"classic_bike","Racine Ave & Randolph St"
"classic_bike","Racine Ave & Randolph St"
"classic_bike","Racine Ave & Randolph St"
"electric_bike","Western Ave & Walton St"
"electric_bike","Clark St & Leland Ave"
"electric_bike","Drake Ave & Montrose Ave"
"classic_bike","Clark St & Leland Ave"
"classic_bike","Talman Ave & Addison St"
"classic_bike","Clark St & Leland Ave"
"classic_bike","Wells St & Hubbard St"
"electric_bike","Kingsbury St & Erie St"
"electric_bike","Wells St & Hubbard St"
"classic_bike","Wells St & Hubbard St"
"classic_bike","Racine Ave & Randolph St"
"classic_bike","Talman Ave & Addison St"
"classic_bike","Sedgwick St & Schiller St"
"classic_bike","Wood St & Augusta Blvd"
"electric_bike","Warren Park East"
"classic_bike","Racine Ave & Randolph St"
"electric_bike","N Paulina St & Lincoln Ave"
"classic_bike","Racine Ave & Randolph St"
"electric_bike","Shields Ave & 28th Pl"
"classic_bike","Western Ave & Walton St"
"classic_bike","Clark St & Leland Ave"
"electric_bike","Wells St & 19th St"
"classic_bike","Western Ave & Walton St"
"classic_bike","Clark St & Leland Ave"
"classic_bike","Talman Ave & Addison St"
"electric_bike","Western Ave & Walton St"
"classic_bike","Clark St & Leland Ave"
"classic_bike","Western Ave & Walton St"
"classic_bike","Sheffield Ave & Wrightwood Ave"
"classic_bike","Sheffield Ave & Wrightwood Ave"
"classic_bike","Shedd Aquarium"
"electric_bike","Clark St & Leland Ave"
"classic_bike","Franklin St & Illinois St"
"classic_bike","Racine Ave & Randolph St"
"electric_bike","Franklin St & Illinois St"
"electric_bike","Jefferson St & Monroe St"
"classic_bike","Halsted St & Archer Ave"
"docked_bike","Lakefront Trail & Wilson Ave"
"electric_bike","Indiana Ave & Roosevelt Rd"
"electric_bike","Sheridan Rd & Buena Ave"
"classic_bike","Indiana Ave & Roosevelt Rd"
"electric_bike","Indiana Ave & Roosevelt Rd"
"electric_bike","Indiana Ave & Roosevelt Rd"
"classic_bike","Greenview Ave & Fullerton Ave"
"electric_bike","Sheridan Rd & Buena Ave"
"electric_bike","Indiana Ave & Roosevelt Rd"
"electric_bike","State St & Van Buren St"
"electric_bike","Broadway & Waveland Ave"
"classic_bike","Indiana Ave & Roosevelt Rd"
"classic_bike","Francisco Ave & Foster Ave"
"classic_bike","Wells St & Concord Ln"
"classic_bike","Kingsbury St & Erie St"
"classic_bike","Kingsbury St & Erie St"
"electric_bike","Wood St & Augusta Blvd"
"classic_bike","Wood St & Augusta Blvd"
"docked_bike","Shedd Aquarium"
"classic_bike","Sheffield Ave & Wrightwood Ave"
"classic_bike","Shedd Aquarium"
"electric_bike","Blackstone Ave & Hyde Park Blvd"
"electric_bike","Wells St & Concord Ln"
"classic_bike","Franklin St & Illinois St"
"electric_bike","Franklin St & Illinois St"
"electric_bike","Franklin St & Illinois St"
"classic_bike","Ogden Ave & Chicago Ave"
"classic_bike","Ogden Ave & Chicago Ave"
"classic_bike","Sedgwick St & Huron St"
"classic_bike","Sedgwick St & Huron St"
"classic_bike","Smith Park"
"classic_bike","Damen Ave & Thomas St (Augusta Blvd)"
"classic_bike","Sheffield Ave & Fullerton Ave"
"electric_bike","Ashland Ave & Wrightwood Ave"
"classic_bike","Sheffield Ave & Fullerton Ave"
"classic_bike","Indiana Ave & Roosevelt Rd"
"classic_bike","Sheridan Rd & Buena Ave"
"classic_bike","State St & Van Buren St"
"electric_bike","W Washington Blvd & N Peoria St"
"electric_bike","Canal St & Adams St"
"docked_bike","Indiana Ave & Roosevelt Rd"
"classic_bike","Canal St & Adams St"
"electric_bike","Canal St & Adams St"
"electric_bike","Leavitt St & Chicago Ave"
"electric_bike","Leavitt St & Chicago Ave"
"classic_bike","DuSable Lake Shore Dr & Belmont Ave"
