"student_id","city","city_development_index","gender","relevant_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","job_change"
699,"city_103",0.919921875,null,true,"no_enrollment","Graduate","STEM","17","10000+","Pvt Ltd",">4",123,false
25619,"city_61",0.9130859375,"Male",true,"no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd","3",23,false
22293,"city_103",0.919921875,"Male",true,"Part time course","Graduate","STEM","19","5000-9999","Pvt Ltd",">4",141,false
26494,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","Business Degree","12","5000-9999","Pvt Ltd","3",145,false
2547,"city_114",0.92578125,"Female",true,"Full time course","Masters","STEM","16","1000-4999","Public Sector","2",14,false
25987,"city_103",0.919921875,"Other",true,"no_enrollment","Graduate","STEM","19","10000+","Public Sector","4",52,true
1180,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","STEM","12","5000-9999","Pvt Ltd","1",52,false
25349,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",28,false
20576,"city_97",0.9248046875,"Male",true,"no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",19,false
3921,"city_36",0.8930664062,null,false,"no_enrollment","Phd","STEM",">20","1000-4999","Public Sector",">4",4,false
24796,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM",">20","5000-9999","Pvt Ltd",">4",15,false
22718,"city_157",0.7690429688,null,true,"no_enrollment","Graduate","No Major","14","10000+",null,">4",47,false
12154,"city_16",0.91015625,null,true,"no_enrollment","Masters","Arts",">20","1000-4999","NGO",">4",55,false
28817,"city_89",0.9248046875,"Male",true,"Full time course","Graduate","STEM","14","5000-9999","Pvt Ltd","3",141,true
7280,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM","13","10000+","Pvt Ltd","1",6,false
16903,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","No Major","17","5000-9999","Pvt Ltd","1",125,false
32092,"city_103",0.919921875,"Female",true,"no_enrollment","Masters","STEM","15","10000+","Pvt Ltd",">4",55,false
29497,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","STEM",">20","10000+","Public Sector",">4",87,true
3728,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","STEM",">20","5000-9999","Pvt Ltd","4",13,false
26099,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM","12","10000+","Pvt Ltd","1",60,false
31602,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd","1",7,false
16814,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",62,false
20881,"city_28",0.9389648438,"Male",true,"no_enrollment","Masters","STEM","10","1000-4999","Pvt Ltd","1",114,false
33050,"city_165",0.9028320312,null,true,"no_enrollment","Graduate","STEM","17","10000+","Pvt Ltd","2",12,false
28838,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM",">20","1000-4999","NGO",">4",74,false
16537,"city_136",0.8969726562,"Male",true,"no_enrollment","Masters","STEM","15","10000+",null,">4",134,false
4310,"city_103",0.919921875,null,true,"no_enrollment","Graduate","STEM","14","1000-4999","Pvt Ltd","3",4,false
31692,"city_160",0.919921875,"Male",true,"Full time course","Graduate","STEM",">20","10000+","Pvt Ltd","1",40,false
31401,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","STEM","18","10000+","Pvt Ltd","2",116,false
24701,"city_103",0.919921875,null,true,"no_enrollment","Graduate","STEM","15","10000+","Pvt Ltd",">4",16,false
10102,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM","20","10000+","Pvt Ltd","never",107,false
30331,"city_103",0.919921875,null,true,"no_enrollment","Graduate","STEM","14","5000-9999","Pvt Ltd",">4",101,false
2990,"city_173",0.8779296875,"Male",true,"no_enrollment","Masters","STEM",">20","1000-4999","Pvt Ltd","3",32,true
8540,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM",">20","1000-4999","Public Sector",">4",52,false
32699,"city_103",0.919921875,null,true,"no_enrollment","High School",null,"18","10000+","Pvt Ltd","1",80,false
10370,"city_75",0.9389648438,"Male",true,"no_enrollment","Masters","STEM","16","5000-9999","NGO","2",166,false
5340,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","Business Degree",">20","10000+","Pvt Ltd","never",109,false
20743,"city_50",0.8959960938,"Male",true,"no_enrollment","Masters","STEM","15","10000+","Pvt Ltd",">4",23,true
29217,"city_75",0.9389648438,"Male",true,"no_enrollment","Graduate","STEM",">20","5000-9999","Pvt Ltd",">4",67,false
25969,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",38,false
26925,"city_158",0.7661132812,"Other",true,"Full time course","Graduate","STEM","15","5000-9999",null,"never",30,true
18620,"city_40",0.7758789062,"Male",true,"Full time course","Graduate","STEM","14","1000-4999","Pvt Ltd","never",52,false
10017,"city_114",0.92578125,"Male",true,"no_enrollment","Masters","STEM",">20","1000-4999","Pvt Ltd",">4",67,false
20797,"city_16",0.91015625,"Male",true,"no_enrollment","Phd","STEM","15","10000+","Pvt Ltd","1",58,false
28468,"city_28",0.9389648438,"Male",true,"no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd",">4",88,false
4978,"city_114",0.92578125,"Male",true,"Part time course","Masters","STEM","14","10000+","Pvt Ltd","2",16,false
28641,"city_104",0.923828125,"Male",true,"no_enrollment","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",95,false
1396,"city_75",0.9389648438,"Male",true,"no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd","3",2,false
3920,"city_106",0.6982421875,"Male",true,"no_enrollment","Graduate","STEM","18","10000+","Pvt Ltd","4",39,false
26291,"city_75",0.9389648438,"Male",true,"no_enrollment","Graduate","STEM","11","1000-4999","Pvt Ltd",">4",72,false
21878,"city_103",0.919921875,null,true,"no_enrollment","Graduate","Other","20","10000+","Pvt Ltd",">4",56,false
32925,"city_16",0.91015625,"Male",true,"no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd","2",78,false
27494,"city_136",0.8969726562,null,true,"no_enrollment","Masters","STEM","14","1000-4999","Pvt Ltd",">4",84,false
13597,"city_36",0.8930664062,"Male",true,"no_enrollment","Masters","STEM","12","10000+","Pvt Ltd","1",107,false
428,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM","12","1000-4999","Pvt Ltd",">4",80,false
1131,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM","11","10000+","Pvt Ltd",">4",34,false
6389,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","Humanities","15","1000-4999","Pvt Ltd","4",11,false
5417,"city_10",0.8950195312,"Male",true,"no_enrollment","Graduate","STEM","12","1000-4999","Pvt Ltd",">4",14,false
24870,"city_21",0.6240234375,null,true,"no_enrollment","Masters","STEM","13","10000+","Pvt Ltd","2",22,false
4475,"city_90",0.6982421875,"Male",true,"Full time course","Masters","STEM",">20","10000+","Public Sector","1",28,false
4072,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","Humanities",">20","10000+","Public Sector","1",20,false
440,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","STEM",">20","10000+","Pvt Ltd",">4",42,false
10792,"city_102",0.8041992188,null,true,null,"Graduate","STEM","12","5000-9999","Pvt Ltd","1",182,false
8311,"city_114",0.92578125,"Male",true,"no_enrollment","Masters","STEM","12","1000-4999","Pvt Ltd","1",82,false
1695,"city_75",0.9389648438,null,true,"no_enrollment","Graduate","STEM","12","1000-4999","Pvt Ltd","1",42,false
21033,"city_103",0.919921875,"Male",true,"no_enrollment","Masters","STEM","10","10000+","Pvt Ltd","1",21,false
10930,"city_67",0.8549804688,"Male",true,"no_enrollment",null,null,">20","5000-9999","Public Sector",">4",17,false
24355,"city_114",0.92578125,null,true,"no_enrollment","Phd","STEM","18","1000-4999","Pvt Ltd","4",122,false
18289,"city_37",0.7939453125,null,false,"Full time course","Masters","STEM","15","1000-4999","Pvt Ltd","1",33,false
19215,"city_160",0.919921875,"Male",false,"no_enrollment","Graduate","Humanities","10","10000+","Pvt Ltd","1",57,false
6448,"city_165",0.9028320312,"Male",true,"Part time course","Graduate","STEM",">20","10000+","Pvt Ltd",">4",6,false
30878,"city_91",0.6909179688,"Male",false,"no_enrollment","Graduate","STEM","10","10000+","Pvt Ltd","1",32,false
3708,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM","14","10000+","Pvt Ltd",">4",290,false
31798,"city_16",0.91015625,"Male",true,"no_enrollment","Graduate","STEM","14","1000-4999","Pvt Ltd","1",8,false
11292,"city_103",0.919921875,"Male",true,"no_enrollment","Graduate","STEM",">20","10000+","Pvt Ltd",">4",156,true
