"set_num","set_name","year","num_parts","color_name","rgb","color_rank"
"10123-1","Cloud City",2003,707,"Dark Gray","6D6E5C",1
"10131-1","TIE Fighter Collection",2004,688,"Blue","0055BF",1
"10144-1","Sandcrawler",2005,1679,"Reddish Brown","582A12",1
"10178-1","Motorized Walking AT-AT",2007,1137,"Light Bluish Gray","A0A5A9",1
"10195-1","Republic Dropship with AT-OT",2009,1757,"Light Bluish Gray","A0A5A9",1
"10198-1","Tantive IV",2009,1408,"White","FFFFFF",1
"10225-1","R2-D2",2012,2130,"White","FFFFFF",1
"10236-1","Ewok Village",2013,2023,"Reddish Brown","582A12",1
"2853590-1","Stormtrooper",2009,5,"Chrome Silver","E0E0E0",1
"2856197-1","Shadow ARF Trooper",2011,5,"Black","05131D",1
"30004-1","Battle Droid on STAP",2009,23,"Blue","0055BF",1
"30005-1","Imperial Speeder Bike",2009,33,"Reddish Brown","582A12",1
"30006-1","Clone Walker",2009,31,"Light Bluish Gray","A0A5A9",1
"30244-1","Anakin's Jedi Intercepter",2014,45,"Black","05131D",1
"30272-1","A-Wing Starfighter",2015,58,"White","FFFFFF",1
"30274-1","AT-DP",2015,65,"Light Bluish Gray","A0A5A9",1
"30275-1","TIE Advanced Prototype",2015,47,"Light Bluish Gray","A0A5A9",1
"30277-1","First Order Star Destroyer",2016,56,"Dark Bluish Gray","6C6E68",1
"30278-1","Poe's X-wing Fighter",2015,64,"Black","05131D",1
"30279-1","Kylo Ren's Command Shuttle",2016,43,"Dark Bluish Gray","6C6E68",1
"30496-1","U-Wing Fighter",2017,55,"White","FFFFFF",1
"30605-1","Finn (FN-2187)",2016,3,"Black","05131D",1
"3219-1","TIE Fighter - Mini",2003,12,"Black","05131D",1
"3340-1","Star Wars #1 - Sith Minifig Pack",2000,30,"Black","05131D",1
"3341-1","Star Wars #2 - Luke/Han/Boba Minifig Pack",2000,25,"Black","05131D",1
"3342-1","Star Wars #3 - Troopers/Chewie Minifig Pack",2000,25,"Dark Gray","6D6E5C",1
"3343-1","Star Wars #4 - Battle Droid Minifig Pack",2000,33,"Tan","E4CD9E",1
"4475-1","Jabba's Message",2003,46,"Brown","583927",1
"4476-1","Jabba's Prize",2003,40,"Light Gray","9BA19D",1
"4477-1","T-16 Skyhopper",2003,98,"Light Gray","9BA19D",1
"4478-1","""Geonosian Fighter, Black Box""",2003,171,"Dark Gray","6D6E5C",1
"4478-2","Geonosian Fighter Blue Box",2004,153,"Dark Gray","6D6E5C",1
"4479-1","TIE Bomber",2003,229,"Light Gray","9BA19D",1
"4480-1","Jabba's Palace",2003,234,"Black","05131D",1
"4482-1","AT-TE",2003,650,"Light Gray","9BA19D",1
"4483-1","""AT-AT, black box""",2003,1070,"Light Gray","9BA19D",1
"4483-2","""AT-AT, blue box""",2004,1070,"Light Gray","9BA19D",1
"4484-1","X-wing Fighter & TIE Advanced - Mini",2003,72,"White","FFFFFF",1
"4485-1","Sebulba's Podracer & Anakin's Podracer - Mini",2003,72,"Black","05131D",1
